topic_id,definition
70,70 - la interv stat fa anni oggi per noi democraz ser
71,71 - ⁩ ⁦ @enricolett @pdnetwork @giorgiamelon @berluscon @matteosalvinim @giuseppeconteit doman chiar
72,72 - buon amic buongiorn dirett @la7tv giorn oggi poc poi ora
73,73 - Draghi programm @azione_it present fatt il cad @piu_europ sempr cittadin
74,74 - centr alle Italia ancor europe 💪🏻 Orban un Putin grand
75,75 - se vot ma dic vinc pd mai lavor Letta dop
76,76 - democrat allarm polit bast ma #terzopol verit senz respons liberal
77,77 - lavor 5 la fatt anni stat estend Letta govern redd
78,78 - il esser l chi mond sol govern europe grand ...
79,79 - cap scegl mod Italia #salvin se pd #tg4 senz Veneto
80,80 - Giorgia de Meloni appunt doman #domenicavotoleg programm Italia govern dopp
81,81 - giustiz e sap italian riform pd per fatem Enrico cont
82,82 - liberal @forza_ital popolar #25settembrevotoforzaital pian sempr arriv insiem rigassif territor
83,83 - elettoral campagn programm part @mov5stell parl @radio1ra è cost molt
84,84 - poss destr sinistr lavor per ser #drag govern insiem camp
85,85 - post temp chius lavor non la fatt govern le salv
86,86 - con insult a sindac fin ultim voc italian scuol cos
87,87 - gioved è #italiasulser intervent part Draghi @enricolett far campagn programm
88,88 - cuor coragg il ancor Italia camb sempr settembr 25 torn
89,89 - senz iniz direttor sempr condann #italiasulser @lastamp realt settembr la
90,90 - econom ecco amor famigl europe Meloni Italia stat cittadin e
91,91 - fra vot Italia non lavor mai i fatt oggi il
92,92 - rest 👏 ii lott giovan ... i polit straordinar prossim
93,93 - sì lavor graz tant rdc #pontida22 favorevol @matteorenz energet bonus
94,94 - Draghi govern il settembr 25 fatt fors stat sol part
95,95 - stat rigassif sempr è oggi avant social insiem il prim
96,96 - cos govern nessun propost per partecip soprattutt tutt dar cas
97,97 - un famigl grand vittim il pensier una oggi preghier dolor
98,98 - piazz Roma drog ver 🔴 centrodestr parl ved andiam campagn
99,99 - vot non denunc sol fatt person cos si per pass
